num,URL,Author,Post,Month,Date,Year,date_code
11,https://bitcointalk.org/index.php?topic=976903.2280,Lahvacekmoney,"Quote from: Laosai on November 02, 2015, 07:57:34 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameI knew it, you'll post here your new ponzi site  Beware of this site guys, the rates were not reasonable IMO, additionaly the design is very simple.. Why ""beware of this site"" ?? Could you tell it to us?Lol design is very simple.. Why you need ""ultra quality design"" if the site is not paying?Yes design could be better but why? Wait for another update..",11,2,2015,11_2_2015
12,https://bitcointalk.org/index.php?topic=976903.2280,Lahvacekmoney,"Quote from: SebastianJu on November 02, 2015, 07:02:17 PMQuote from: Lahvacekmoney on November 02, 2015, 12:17:28 AMhttp://chickenstrike.co.nf/ new hyip + mining gameThis is a thread for searching to grow the readers bitcoins, not growing your bitcoins. Post here one screenshot of your proof.",11,2,2015,11_2_2015
13,https://bitcointalk.org/index.php?topic=976903.2300,makcik,"You can grow your bitcoins by doing these things.. :(1) Start an online service and provide donations via btc-- If you have an available server that you’ve been renting for other purposes anyway, you may want to consider starting a useful online service that visitors will keep returning to, where you can then solicit donations via Bitcoin.(2) Sell your items-- Start your own business online and do transactions using bitcoins(3) Farming Faucets-- They are too miser in paying, but they can at least give you something for doing absolutely nothing. (4) Publish online ads-- You can earn by publishing ads on your blog or website. Some websites like CoinURL and BitClix pay you in btc for ad clicks!",11,3,2015,11_3_2015
14,https://bitcointalk.org/index.php?topic=976903.2300,bitcoinmar,,11,3,2015,11_3_2015
15,https://bitcointalk.org/index.php?topic=976903.2300,Laosai,"Quote from: teilwalL05 on November 03, 2015, 02:22:51 PMQuote from: Timeline on November 03, 2015, 01:57:06 PMI would say trading is the best method. Signature campaigns also pay something.Thanks for the info friend, but what rank do you think I start on trading? or do I need lots of bitcoin to do it, maybe I will try signature campaign if I turn to jr. member. I haven't tried trading yet but afaik it really needs a decent amount of bitcoins so it will be more profitable. I'll sugest you have to earn some btc first with signature campaigns then after earning a decent amount , start trading  That's my goal right now",11,3,2015,11_3_2015
16,https://bitcointalk.org/index.php?topic=976903.2300,harizen,"Quote from: Laosai on November 03, 2015, 02:57:22 PMQuote from: teilwalL05 on November 03, 2015, 02:22:51 PMQuote from: Timeline on November 03, 2015, 01:57:06 PMI would say trading is the best method. Signature campaigns also pay something.Thanks for the info friend, but what rank do you think I start on trading? or do I need lots of bitcoin to do it, maybe I will try signature campaign if I turn to jr. member. I haven't tried trading yet but afaik it really needs a decent amount of bitcoins so it will be more profitable. I'll sugest you have to earn some btc first with signature campaigns then after earning a decent amount , start trading  That's my goal right now Not really a decent amount of bitcoin. My mentor in Trading started a initial investment of around BTC0.2 (Php2,000 at that time) and now his holding more today and still kicking. His always at our local thread when Im starting here in this forum but now only focusing on trading method. Right now I can't applied some of his tips in trading  . Hope I can be like him someday.",11,3,2015,11_3_2015
17,https://bitcointalk.org/index.php?topic=976903.2300,hendra147,"Sign up at HUOBI and deposit your bitcoin get LOAN at HUOBI (margin trader) buy bitcoin at low price and sell your bitcoin at high rate, and pay your LOAN",11,3,2015,11_3_2015
18,https://bitcointalk.org/index.php?topic=976903.2300,razen489,Anybody looking at the BTC price today? It's insane... https://www.coingecko.com/en/price_charts/bitcoin/usdSpeed of growing Bitcoin is a function of the risk of losing your Bitcoin.Scrap trading small gain is one safe way to minimize lose and get some gain,11,3,2015,11_3_2015
19,https://bitcointalk.org/index.php?topic=976903.2300,harizen,"Quote from: razen489 on November 03, 2015, 03:12:05 PMAnybody looking at the BTC price today? It's insane... https://www.coingecko.com/en/price_charts/bitcoin/usdSpeed of growing Bitcoin is a function of the risk of losing your Bitcoin.Scrap trading small gain is one safe way to minimize lose and get some gainIt's not insane especially for the Traders. Even without the current boost in btc price today they always checking the price for possible movements. They are checking it hourly to somehow make a speculation of what action will they do next.",11,3,2015,11_3_2015
20,https://bitcointalk.org/index.php?topic=976903.2300,Laosai,"Quote from: harizen on November 03, 2015, 03:01:35 PMQuote from: Laosai on November 03, 2015, 02:57:22 PMQuote from: teilwalL05 on November 03, 2015, 02:22:51 PMQuote from: Timeline on November 03, 2015, 01:57:06 PMI would say trading is the best method. Signature campaigns also pay something.Thanks for the info friend, but what rank do you think I start on trading? or do I need lots of bitcoin to do it, maybe I will try signature campaign if I turn to jr. member. I haven't tried trading yet but afaik it really needs a decent amount of bitcoins so it will be more profitable. I'll sugest you have to earn some btc first with signature campaigns then after earning a decent amount , start trading  That's my goal right now Not really a decent amount of bitcoin. My mentor in Trading started a initial investment of around BTC0.2 (Php2,000 at that time) and now his holding more today and still kicking. His always at our local thread when Im starting here in this forum but now only focusing on trading method. Right now I can't applied some of his tips in trading  . Hope I can be like him someday. IMO that's already a decent amount for me, my definition of decent amount of btc was something like 0.1 BTC and above Anyways, that kind of stories really convince me to do trading but I don't know how to start  But I am reading stuffs right now, good thing you have a mentor so it would be easier for you. BTC is he trading altcoin or bitcoin to fiat(vice versa)?",11,3,2015,11_3_2015
21,https://bitcointalk.org/index.php?topic=976903.2300,harizen,"Quote from: Laosai on November 03, 2015, 03:15:58 PMIMO that's already a decent amount for me, my definition of decent amount of btc was something like 0.1 BTC and above Anyways, that kind of stories really convince me to do trading but I don't know how to start  But I am reading stuffs right now, gos rhing you have a mentor so it would be easier for you. BTC is he trading altcoin or bitcoin to fiat(vice versa)?LOL. The time he buy btc the amount he got from our Php2,000 is around BTC0.2.Well even he teaches me I found it hard. It's really stressful to always watch the price chart even when there's no a big movement in btc price. What more today in the current price movement. He trades USD to BTC and vice versa. Im really amazed with the speculation they giving. They are almost right with the $400 prediction exactly at November 3. There group predicted it last week and almost accurate.",11,3,2015,11_3_2015
22,https://bitcointalk.org/index.php?topic=976903.2300,hendra147,"Quote from: razen489 on November 03, 2015, 03:12:05 PMAnybody looking at the BTC price today? It's insane... https://www.coingecko.com/en/price_charts/bitcoin/usdSpeed of growing Bitcoin is a function of the risk of losing your Bitcoin.Scrap trading small gain is one safe way to minimize lose and get some gainit's a good tactic dude i like it , im trader too, i think take a small profit multiply the number of trades also good tactics you can take 1% profit and repeat it 10times  so you can get 10%",11,3,2015,11_3_2015
23,https://bitcointalk.org/index.php?topic=976903.2300,Abiky,"There are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.",11,3,2015,11_3_2015
24,https://bitcointalk.org/index.php?topic=976903.2280,harizen,"Quote from: SebastianJu on October 30, 2015, 03:33:41 PMQuote from: harizen on October 30, 2015, 12:53:39 PMQuote from: Abiky on October 30, 2015, 11:59:15 AMThere's an easier way to growing your Bitcoins quicker than you might think of, but that involves scamming and stealing other people's money, which is not legal and rude. But if you want to take the safe path, just make a research on different types of companies (involving Bitcoin) before making an investment. Then, you could be sure to invest, take the risk and earn a decent amount of money which will make your Bitcoins grow for days to come. Just my opinion.  It's not easy though since in oder to scam money you have to put an investment too in your beloved scam tool to get more customers in investors in case of a building a ponzi site or any investment scheme. It requires good build and unique script of that site too. Stealing money is hard too because it requires good planning. If you will rob a bank you must have guns or anything as your weapon and you need a team for this. You will scout first the bank and the route you will follow as your escape route. Also have a vehicle which is also quiet expensive if you buy a second hand or a 10% healthy car. If stealing on a single person, you need to analyze the movement of that person inluding the time when alone or time of work etc. What a discussion is this lol. What do you mean? The easiest scam is to ask for a loan without collateral. It works way too often. Or offering your bitcointalk forum account as collateral with the intent to default so that the loaner has to sell it.Most scams don't need any investment. Only if you want to scam a big thing you might need some investment upfront. But when you think about neobee then it seems it might be possible to scam only with the promise of future profits. And people will invest.Lol someone take my post seriously huh. It's a funny scene.  The easiest type of scam you are talking in the first part of your reply is really a shit type lol. Who dumb people will take a bait easily for a no collateral loan type. Even offering a bitcointalk account is not working anymore to get a scam. So that is not the easiest. It's already 2016 and that type of transaction will just caught a 1 yr old boy or even less than.And on the second part of your post, that's what Im pointing out in my funny scene post lol. Sometimes it needs invesment to have a better scam program like the one who are making ponzis.",11,3,2015,11_3_2015
25,https://bitcointalk.org/index.php?topic=976903.2280,givemefive,"This article seems not bad, methods to earn bitcoin, as it says, trading is a suitable method for most bitcoiners to grow their BTC.",11,3,2015,11_3_2015
26,https://bitcointalk.org/index.php?topic=976903.2280,givemefive,"This article seems not bad, methods to earn bitcoin, as it says, trading is a suitable method for most bitcoiners to grow their BTC.",11,3,2015,11_3_2015
27,https://bitcointalk.org/index.php?topic=976903.2280,crazyivan,"Quote from: givemefive on November 03, 2015, 01:49:23 AMThis article seems not bad, methods to earn bitcoin, as it says, trading is a suitable method for most bitcoiners to grow their BTC.This article is total BS. It does not offer any real info besides tons of affiliate links leading towards scams and HYIPs. You should be ashamed for posting it.",11,3,2015,11_3_2015
28,https://bitcointalk.org/index.php?topic=976903.2280,Timeline,I would say trading is the best method. Signature campaigns also pay something.,11,3,2015,11_3_2015
29,https://bitcointalk.org/index.php?topic=976903.2320,hangar18,"The best method of getting more bitcoins is just buying more. Find ways to make fiat money, which should be easier, and buy bitcoin.",11,4,2015,11_4_2015
30,https://bitcointalk.org/index.php?topic=976903.2300,trinaldao,"Quote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.if you want to staking you must think again and learn more about altcoin, also you must observe about that altcoin and dev active or notim buying CLV (0.4) some month ago and i stake it now market rising current rate 900sat (if i sell ican get 2BTC) but the blockchain is crashing , i has tried searching at mre place but my wallet still can't connect",11,4,2015,11_4_2015
31,https://bitcointalk.org/index.php?topic=976903.2300,crazyivan,"Quote from: trinaldao on November 04, 2015, 05:04:38 AMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.if you want to staking you must think again and learn more about altcoin, also you must observe about that altcoin and dev active or notim buying CLV (0.4) some month ago and i stake it now market rising current rate 900sat (if i sell ican get 2BTC) but the blockchain is crashing , i has tried searching at mre place but my wallet still can't connectI agree. Staking needs to be carefully analysed. I do a lot of PoS investing and choose my coins very carefully. There needs to be something special about the coin you select, some practical use of specific inflation controls system or something which separates that specific coin from the rest.",11,4,2015,11_4_2015
32,https://bitcointalk.org/index.php?topic=976903.2300,gripflierGO,"Quote from: Laosai on November 03, 2015, 02:57:22 PMQuote from: teilwalL05 on November 03, 2015, 02:22:51 PMQuote from: Timeline on November 03, 2015, 01:57:06 PMI would say trading is the best method. Signature campaigns also pay something.Thanks for the info friend, but what rank do you think I start on trading? or do I need lots of bitcoin to do it, maybe I will try signature campaign if I turn to jr. member. I haven't tried trading yet but afaik it really needs a decent amount of bitcoins so it will be more profitable. I'll sugest you have to earn some btc first with signature campaigns then after earning a decent amount , start trading  That's my goal right now That is the right thing to do. Play safe at the initial stage, it is better you earn good amount of bitcoins from signature campaigns and keep it safe for the future and once you hold a good amount of bitcoins you can go for trading. But trading also involves a risk so you need to be sure that you don't loose your hard earned coins, and yes stay away from gambling ",11,4,2015,11_4_2015
33,https://bitcointalk.org/index.php?topic=976903.2300,YuginKadoya,"Quote from: Enzyme on March 05, 2015, 10:31:17 AMHi! I recently created a thread asking for the best methods of gaining free Bitcoin.Most popular results:Signature Campaign (High Paying)Faucets (Low Paying)Trading (Variable)Now, I'm asking a different question.What are your best methods of growing Bitcoin.Only refer to safe investments!ThanksYou can earn from gambling too but it must be done in moderation because of the house, you can convert BTC to dollar if bitcoin increases and last the hardest of all to earn more BTC is mining if you have a lot of money in your disposal.",11,4,2015,11_4_2015
34,https://bitcointalk.org/index.php?topic=976903.2300,winspiral,"Quote from: YuginKadoya on November 04, 2015, 12:38:22 PMQuote from: Enzyme on March 05, 2015, 10:31:17 AMHi! I recently created a thread asking for the best methods of gaining free Bitcoin.Most popular results:Signature Campaign (High Paying)Faucets (Low Paying)Trading (Variable)Now, I'm asking a different question.What are your best methods of growing Bitcoin.Only refer to safe investments!ThanksQuoteOnly refer to safe investments!How can you see if investments are safe?One can see if investments are safe only...""after"".I'm running a safe investment...(some here say it's a ponzi)I know that it is safe,but even me,can not proof that it is safe.",11,4,2015,11_4_2015
35,https://bitcointalk.org/index.php?topic=976903.2300,winspiral,"Quote from: YuginKadoya on November 04, 2015, 12:38:22 PMQuote from: Enzyme on March 05, 2015, 10:31:17 AMHi! I recently created a thread asking for the best methods of gaining free Bitcoin.Most popular results:Signature Campaign (High Paying)Faucets (Low Paying)Trading (Variable)Now, I'm asking a different question.What are your best methods of growing Bitcoin.Only refer to safe investments!ThanksQuoteOnly refer to safe investments!How can you see if investments are safe?One can see if investments are safe only...""after"".I'm running a safe investment...(some here say it's a ponzi)I know that it is safe,but even me,can not proof that it is safe.",11,4,2015,11_4_2015
36,https://bitcointalk.org/index.php?topic=976903.2300,supermeatboy385,"simple...work. Sig campaigns, freelancing, etc all good ways.",11,4,2015,11_4_2015
37,https://bitcointalk.org/index.php?topic=976903.2300,kyrios_,"Quote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.How do you invest in shares?",11,4,2015,11_4_2015
38,https://bitcointalk.org/index.php?topic=976903.2300,Abiky,"Quote from: kyrios_ on November 04, 2015, 02:44:08 PMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.How do you invest in shares?Simply buy shares from trusted sources. First make a research, before investing in any of these just to be safe. You can invest on Banxshares (http://banx.io), Bleutrade Shares (http://bleutrade.com), or Blockshares (https://bcexchange.org/). Some of them give you payout (dividends) every week, and some give you dividends every month.For more info on their prices, you can check out: http://coinmarketcap.comHope this helps. ",11,4,2015,11_4_2015
39,https://bitcointalk.org/index.php?topic=976903.2320,Djisamsoe,"Quote from: Abiky on November 04, 2015, 05:43:17 PMQuote from: kyrios_ on November 04, 2015, 02:44:08 PMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…3. Investing on shares (Banxshares, Blockshares, Billshares, etc)How do you invest in shares?Simply buy shares from trusted sources. First make a research, before investing in any of these just to be safe. You can invest on Banxshares (http://banx.io), Bleutrade Shares (http://bleutrade.com), or Blockshares (https://bcexchange.org/). Some of them give you payout (dividends) every week, and some give you dividends every month.For more info on their prices, you can check out: http://coinmarketcap.comHope this helps.  Did you check this services? Someone can confirm that they are legit?With so many scams around I have great concerns about investing in such ideas.. ",11,5,2015,11_5_2015
40,https://bitcointalk.org/index.php?topic=976903.2320,bit3000,"Quote from: Abiky on November 04, 2015, 05:43:17 PMQuote from: kyrios_ on November 04, 2015, 02:44:08 PMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…3. Investing on shares (Banxshares, Blockshares, Billshares, etc)How do you invest in shares?Simply buy shares from trusted sources. First make a research, before investing in any of these just to be safe. You can invest on Banxshares (http://banx.io), Bleutrade Shares (http://bleutrade.com), or Blockshares (https://bcexchange.org/). Some of them give you payout (dividends) every week, and some give you dividends every month.For more info on their prices, you can check out: http://coinmarketcap.comHope this helps.  Did you check this services? Someone can confirm that they are legit?With so many scams around I have great concerns about investing in such ideas.. ",11,5,2015,11_5_2015
41,https://bitcointalk.org/index.php?topic=976903.2320,btccashacc,"Quote from: Abiky on November 04, 2015, 05:43:17 PMQuote from: kyrios_ on November 04, 2015, 02:44:08 PMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.How do you invest in shares?Simply buy shares from trusted sources. First make a research, before investing in any of these just to be safe. You can invest on Banxshares (http://banx.io), Bleutrade Shares (http://bleutrade.com), or Blockshares (https://bcexchange.org/). Some of them give you payout (dividends) every week, and some give you dividends every month.For more info on their prices, you can check out: http://coinmarketcap.comHope this helps.  interesting post, how much you can earn from banx, i've missed this one https://bitcointalk.org/index.php?topic=1219292.0 i dont know what was banx, so i have not joined with that giveaway",11,5,2015,11_5_2015
42,https://bitcointalk.org/index.php?topic=976903.2320,harizen,"Quote from: bit3000 on November 05, 2015, 08:04:53 AMQuote from: danherbias07 on November 05, 2015, 06:42:40 AMQuote from: harizen on November 05, 2015, 12:50:12 AMMy bitcoins will grow again later if the chart will tell me to buy. Id able to sell my coins at its peak earlier. Now just waiting for the right time to buy.Good thing you sold it at the right moment where it peaked. You must be really eyeing the way it goes up and down.Naa I don't think it was the right moment.Look for the prices in December, they will reach 500$+,according to my theory.And this is the right time to buy them.(today)Didn't you know that my coins will increase much more because I can buy again at low price to wait for that December kicks?  If I just hold my coins and don't sell it yesterday then the number of coins isn't changed and only the value will changed. Got it?",11,5,2015,11_5_2015
43,https://bitcointalk.org/index.php?topic=976903.2320,sakira,My growing bitcoin method at this time is trade. yeah currently trading very good for the growth of your bitcoin,11,5,2015,11_5_2015
44,https://bitcointalk.org/index.php?topic=976903.2320,YuginKadoya,"Quote from: hangar18 on November 04, 2015, 07:26:25 PMThe best method of getting more bitcoins is just buying more. Find ways to make fiat money, which should be easier, and buy bitcoin.Nah! what if bitcoin now is going down? well you can increase your bought BTC if bitcoin will increase, but it will be in the long term or a long process you have to wait that bitcoin will increase so you can income, your fiat money is for nothing if you anticipated the right moment to convert them!",11,5,2015,11_5_2015
45,https://bitcointalk.org/index.php?topic=976903.2320,asusZ,"methods of money given all of my friends here are very useful, but only I know the method for growing bitcoin or money is by way of investment",11,5,2015,11_5_2015
46,https://bitcointalk.org/index.php?topic=976903.2320,Abiky,"Quote from: btccashacc on November 05, 2015, 08:18:31 AMQuote from: Abiky on November 04, 2015, 05:43:17 PMQuote from: kyrios_ on November 04, 2015, 02:44:08 PMQuote from: Abiky on November 03, 2015, 11:07:46 PMThere are methods that are proven effective towards growing your stash of Bitcoins. These have always worked for me, although sometimes staking doesn’t work that much…1. Staking2. Trading3. Investing on shares (Banxshares, Blockshares, Billshares, etc)4. Sell your BTC when price is high to a stable crypto pegged to fiat (Nubits, Tether, BitUSD, etc)5. And other I might have missed.How do you invest in shares?Simply buy shares from trusted sources. First make a research, before investing in any of these just to be safe. You can invest on Banxshares (http://banx.io), Bleutrade Shares (http://bleutrade.com), or Blockshares (https://bcexchange.org/). Some of them give you payout (dividends) every week, and some give you dividends every month.For more info on their prices, you can check out: http://coinmarketcap.comHope this helps.  interesting post, how much you can earn from banx, i've missed this one https://bitcointalk.org/index.php?topic=1219292.0 i dont know what was banx, so i have not joined with that giveawayIt all depends on how much you invest into it. You can either earn some good dividends, but if you invest the very minimum, then you are very likely to see some good profit/ROI. So far, they have been paying me the dividends, and I've earn even more profit along the way because of the price increase. ",11,5,2015,11_5_2015
47,https://bitcointalk.org/index.php?topic=976903.2320,YuginKadoya,"Quote from: asusZ on November 05, 2015, 12:03:09 PMmethods of money given all of my friends here are very useful, but only I know the method for growing bitcoin or money is by way of investmentI don't understand how does your friends here are useful to gain money? maybe your friends are giving you Bitcoin? or helping you earn it, well investments are one ways to gain Bitcoin too, but a lot of it are scam, or fraud, mostly when bitcoin is at stake on going up sometime they will escape with all of the invested BTC, So be very careful in investing.",11,5,2015,11_5_2015
48,https://bitcointalk.org/index.php?topic=976903.2320,teilwalL05,"Quote from: YuginKadoya on November 05, 2015, 12:49:38 PMI don't understand how does your friends here are useful to gain money? maybe your friends are giving you Bitcoin? or helping you earn it, well investments are one ways to gain Bitcoin too, but a lot of it are scam, or fraud, mostly when bitcoin is at stake on going up sometime they will escape with all of the invested BTC, So be very careful in investing. That is one issue in investment scheme, sometimes they will invite someone so invest a sum of money and when they had plenty of it and the bitcoin increase, then say goodbye to your bitcoin.",11,5,2015,11_5_2015
49,https://bitcointalk.org/index.php?topic=976903.2320,Djisamsoe,"Quote from: teilwalL05 on November 05, 2015, 02:16:34 PMQuote from: YuginKadoya on November 05, 2015, 12:49:38 PMI don't understand how does your friends here are useful to gain money? maybe your friends are giving you Bitcoin? or helping you earn it, well investments are one ways to gain Bitcoin too, but a lot of it are scam, or fraud, mostly when bitcoin is at stake on going up sometime they will escape with all of the invested BTC, So be very careful in investing. That is one issue in investment scheme, sometimes they will invite someone so invest a sum of money and when they had plenty of it and the bitcoin increase, then say goodbye to your bitcoin. Not all at once would like Bitcoin. We still lack the tools to easily use Bitcoin. For everything it takes time - slowly people get used. Not so long ago it was the same with credit cards.",11,5,2015,11_5_2015
50,https://bitcointalk.org/index.php?topic=976903.2320,ranochigo,"Quote from: Djisamsoe on November 05, 2015, 02:21:10 PMQuote from: teilwalL05 on November 05, 2015, 02:16:34 PMQuote from: YuginKadoya on November 05, 2015, 12:49:38 PMI don't understand how does your friends here are useful to gain money? maybe your friends are giving you Bitcoin? or helping you earn it, well investments are one ways to gain Bitcoin too, but a lot of it are scam, or fraud, mostly when bitcoin is at stake on going up sometime they will escape with all of the invested BTC, So be very careful in investing. That is one issue in investment scheme, sometimes they will invite someone so invest a sum of money and when they had plenty of it and the bitcoin increase, then say goodbye to your bitcoin. Not all at once would like Bitcoin. We still lack the tools to easily use Bitcoin. For everything it takes time - slowly people get used. Not so long ago it was the same with credit cards.Like what? It is relatively easy to use Bitcoin with SPV wallets and block pruning getting implemented. For Bitcoin to grow, government has to reduce the restrictions and not discourage citizens to use it, probably won't happen. I don't think there's much negative news about credit card when it came out right?",11,5,2015,11_5_2015
51,https://bitcointalk.org/index.php?topic=976903.2320,prchauhan,Hi friends.Bit-coin is 100% risk based money's. So should take a more risk to gain our bitcoin. .1 trade in currencies with smaller contract. .If you have 1 BTC in wallat take .05 contact. .less risk more profitable. ..always taken both side position buy/sell ..Thank youPrashant,11,5,2015,11_5_2015
